name,pID,height,weight,birthYr,firstSeasonID
Cedric Ball,ballce01,80,210,1968,1991
LaMelo Ball,ballla01,79,180,2001,2021
Lonzo Ball,balllo01,78,190,1997,2018
Mo Bamba,bambamo01,84,231,1998,2019
Desmond Bane,banede01,77,215,1998,2021
Marcus Banks,banksma01,74,200,1981,2004
Ken Bannister,bannike01,81,235,1960,1985
Dalano Banton,bantoda01,81,204,1999,2022
Cat Barber,barbeca01,74,190,1994,2022
Leandro Barbosa,barbole01,75,194,1982,2004
Steve Bardo,bardost01,77,190,1968,1992
J.J. Barea,bareajo01,70,180,1984,2007
Andrea Bargnani,bargnan01,84,245,1985,2007
Charles Barkley,barklch01,78,252,1963,1985
Erick Barkley,barkler01,73,177,1978,2001
Harrison Barnes,barneha02,80,225,1992,2013
Matt Barnes,barnema02,79,226,1980,2004
Scottie Barnes,barnesc01,81,227,2001,2022
Andre Barrett,barrean01,70,172,1982,2005
RJ Barrett,barrerj01,78,214,2000,2020
Dana Barros,barroda01,71,163,1967,1990
Earl Barron,barroea01,84,250,1981,2006
Brent Barry,barrybr01,78,185,1971,1996
Drew Barry,barrydr01,77,191,1973,1998
Jon Barry,barryjo01,76,195,1969,1993
Will Barton,bartowi01,78,181,1991,2013
Eddie Basden,basdeed01,77,215,1983,2006
Brandon Bass,bassbr01,80,250,1985,2006
Charles Bassey,bassech01,83,235,2000,2022
Paris Bass,basspa01,80,200,1995,2022
Maceo Baston,bastoma01,81,215,1975,2003
Mengke Bateer,bateeme01,83,290,1975,2002
Keita Bates-Diop,bateske01,80,229,1996,2019
Esteban Batista,batises01,82,270,1983,2006
